Ward No.,Household,Total Population,Total Male,Total Female
1,690,4229,2189,2040
2,992,6995,3617,3378
3,810,5398,2721,2677
4,662,4314,2187,2127
5,829,5735,2920,2815
Total,3983,26671,13634,13037
