Ward No.,Household,Total Population,Total Male,Total Female
1,733,3325,1569,1756
2,726,3073,1393,1680
3,707,3031,1401,1630
4,1090,4634,2089,2545
5,794,4065,1896,2169
Total,4050,18128,8348,9780
