Ward No.,Household,Total Population,Total Male,Total Female
1,585,2629,1214,1415
2,606,2443,1089,1354
3,1026,4424,2034,2390
4,952,4483,2047,2436
5,827,3981,1861,2120
6,450,2098,1039,1059
Total,4446,20058,9284,10774
