Ward No.,Household,Total Population,Total Male,Total Female
1,231,928,452,476
2,618,2934,1502,1432
3,718,3253,1609,1644
4,324,1611,817,794
5,772,3650,1821,1829
6,259,1196,589,607
Total,2922,13572,6790,6782
