Ward No.,Household,Total Population,Total Male,Total Female
1,1132,6412,3157,3255
2,1066,5807,2994,2813
3,379,1533,752,781
4,1049,6290,3043,3247
5,968,5022,2535,2487
6,801,3478,1734,1744
Total,5395,28542,14215,14327
