Ward No.,Household,Total Population,Total Male,Total Female
1,669,4033,2039,1994
2,700,4012,1971,2041
3,1311,7235,3612,3623
4,1105,5807,2788,3019
5,583,2895,1385,1510
6,874,5477,2692,2785
Total,5242,29459,14487,14972
