Ward No.,Household,Total Population,Total Male,Total Female
1,716,3830,1879,1951
2,426,2195,1010,1185
3,458,2383,1142,1241
4,428,2176,1025,1151
5,398,2355,1144,1211
6,276,1410,631,779
Total,2702,14349,6831,7518
