Ward No.,Household,Total Population,Total Male,Total Female
1,589,2906,1341,1565
2,551,2510,1186,1324
3,411,2088,992,1096
4,423,2238,1052,1186
5,434,1852,892,960
Total,2408,11594,5463,6131
