Ward No.,Household,Total Population,Total Male,Total Female
1,570,3055,1481,1574
2,689,4077,2076,2001
3,1142,5968,2797,3171
4,834,4261,1973,2288
5,1010,5685,2789,2896
Total,4245,23046,11116,11930
