Ward No.,Household,Total Population,Total Male,Total Female
1,675,4087,1981,2106
2,645,3995,2042,1953
3,753,4396,2170,2226
4,833,4658,2190,2468
5,829,4981,2382,2599
6,1095,5937,2763,3174
Total,4830,28054,13528,14526
