Ward No.,Household,Total Population,Total Male,Total Female
1,534,2346,1082,1264
2,656,2925,1379,1546
3,657,3059,1464,1595
4,459,2311,1121,1190
5,761,3674,1759,1915
6,356,1895,890,1005
7,529,2693,1260,1433
8,600,2981,1365,1616
Total,4552,21884,10320,11564
