Ward No.,Household,Total Population,Total Male,Total Female
1,947,4224,1952,2272
2,771,3692,1685,2007
3,531,2502,1163,1339
4,537,2483,1168,1315
5,714,3217,1433,1784
Total,3500,16118,7401,8717
