Ward No.,Household,Total Population,Total Male,Total Female
1,789,3739,1624,2115
2,827,3912,1702,2210
3,704,3131,1381,1750
4,590,2772,1281,1491
5,725,3514,1529,1985
6,700,3543,1602,1941
7,558,2689,1141,1548
Total,4893,23300,10260,13040
