Ward No.,Household,Total Population,Total Male,Total Female
1,779,3594,1551,2043
2,933,4200,1785,2415
3,869,3859,1626,2233
4,393,1721,709,1012
5,266,1118,493,625
Total,3240,14492,6164,8328
