Ward No.,Household,Total Population,Total Male,Total Female
1,557,3385,1711,1674
2,895,5171,2614,2557
3,754,4584,2422,2162
4,578,3605,1785,1820
5,674,4384,2234,2150
6,628,4273,2176,2097
7,649,4430,2339,2091
Total,4735,29832,15281,14551
