Ward No.,Household,Total Population,Total Male,Total Female
1,793,4943,2471,2472
2,652,4142,2133,2009
3,473,2947,1525,1422
4,610,3588,1872,1716
5,442,2710,1353,1357
6,433,2619,1363,1256
7,561,3839,1955,1884
Total,3964,24788,12672,12116
