Ward No.,Household,Total Population,Total Male,Total Female
1,888,5760,2993,2767
2,587,3722,1924,1798
3,724,4365,2220,2145
4,637,4083,2090,1993
5,488,3181,1532,1649
6,373,2449,1303,1146
7,376,2525,1325,1200
Total,4073,26085,13387,12698
