Ward No.,Household,Total Population,Total Male,Total Female
1,362,2018,1042,976
2,871,5798,2973,2825
3,748,4322,2220,2102
4,520,3102,1611,1491
5,841,4950,2565,2385
6,590,3553,1864,1689
7,533,3253,1682,1571
8,540,3427,1739,1688
9,512,3240,1667,1573
10,781,4667,2372,2295
11,853,5099,2567,2532
12,751,4258,2246,2012
Total,7902,47687,24548,23139
