Ward No.,Household,Total Population,Total Male,Total Female
1,503,3083,1445,1638
2,422,2762,1298,1464
3,756,3608,1624,1984
4,672,4118,1830,2288
5,464,2362,1059,1303
6,670,3189,1407,1782
Total,3487,19122,8663,10459
