Ward No.,Household,Total Population,Total Male,Total Female
1,604,3100,1692,1408
2,628,3180,1573,1607
3,478,2529,1265,1264
4,873,4372,2178,2194
5,496,2486,1230,1256
6,626,2905,1392,1513
7,746,3534,1815,1719
Total,4451,22106,11145,10961
