Ward No.,Household,Total Population,Total Male,Total Female
1,449,2027,917,1110
2,863,4063,2002,2061
3,544,2675,1321,1354
4,760,3942,1902,2040
5,705,3238,1569,1669
Total,3321,15945,7711,8234
