Ward No.,Household,Total Population,Total Male,Total Female
1,754,3488,1625,1863
2,636,2873,1371,1502
3,739,2993,1346,1647
4,422,2186,1063,1123
5,789,3321,1537,1784
Total,3340,14861,6942,7919
