Ward No.,Household,Total Population,Total Male,Total Female
1,755,3242,1474,1768
2,455,2088,932,1156
3,692,3654,1717,1937
4,715,3453,1602,1851
5,393,1815,841,974
6,619,2600,1241,1359
Total,3629,16852,7807,9045
