Ward No.,Household,Total Population,Total Male,Total Female
1,688,2976,1402,1574
2,448,2085,1005,1080
3,557,2462,1110,1352
4,370,1582,705,877
5,788,3524,1629,1895
6,700,3053,1440,1613
7,533,2449,1197,1252
8,592,2638,1264,1374
Total,4676,20769,9752,11017
