Ward No.,Household,Total Population,Total Male,Total Female
1,331,1599,707,892
2,194,891,407,484
3,272,1313,611,702
4,561,2391,1040,1351
5,659,2747,1219,1528
6,212,917,408,509
Total,2229,9858,4392,5466
