Ward No.,Household,Total Population,Total Male,Total Female
1,633,3337,1641,1696
2,673,4283,2127,2156
3,813,4852,2370,2482
4,1063,5974,2796,3178
5,626,3487,1745,1742
6,653,3405,1630,1775
Total,4461,25338,12309,13029
