Ward No.,Household,Total Population,Total Male,Total Female
1,1115,6290,3315,2975
2,1456,8141,4310,3831
3,977,6202,3187,3015
4,718,4492,2297,2195
5,1123,5361,2491,2870
6,1201,6974,3677,3297
Total,6590,37460,19277,18183
