Ward No.,Household,Total Population,Total Male,Total Female
1,1862,8255,4190,4065
2,1156,5862,2952,2910
3,591,3933,2026,1907
4,1987,9950,5056,4894
5,872,4922,2509,2413
6,841,4285,2182,2103
7,613,3393,1770,1623
8,712,4223,2170,2053
9,1111,4420,2287,2133
10,2152,7959,4167,3792
11,1020,5871,3070,2801
12,1650,6773,3441,3332
13,1292,6324,3290,3034
14,738,4326,2277,2049
15,1015,5455,2802,2653
16,964,6567,3359,3208
17,1162,5983,3068,2915
18,1956,8910,4540,4370
19,1349,6830,3359,3471
20,2597,12233,6036,6197
21,1122,6264,3174,3090
22,889,4724,2416,2308
23,241,1489,736,753
Total,27892,138951,70877,68074
