Ward No.,Household,Total Population,Total Male,Total Female
1,1019,6431,3328,3103
2,944,5318,2736,2582
3,1833,9845,5090,4755
4,989,5151,2568,2583
5,909,5289,2712,2577
6,1030,5805,2999,2806
Total,6724,37839,19433,18406
