Ward No.,Household,Total Population,Total Male,Total Female
1,650,3388,1573,1815
2,715,3592,1485,2107
3,809,3633,1466,2167
4,453,2216,980,1236
5,443,2264,1041,1223
Total,3070,15093,6545,8548
