Ward No.,Household,Total Population,Total Male,Total Female
1,506,3292,1574,1718
2,340,2001,930,1071
3,682,3717,1733,1984
4,617,3271,1622,1649
5,317,1848,869,979
Total,2462,14129,6728,7401
