Ward No.,Household,Total Population,Total Male,Total Female
1,505,2446,1130,1316
2,786,3852,1765,2087
3,442,2165,962,1203
4,555,2724,1251,1473
5,537,3065,1440,1625
6,486,2814,1346,1468
Total,3311,17066,7894,9172
