Ward No.,Household,Total Population,Total Male,Total Female
1,534,3406,1669,1737
2,374,2322,1118,1204
3,413,2353,1141,1212
4,479,2726,1325,1401
5,285,1693,826,867
6,423,2456,1189,1267
Total,2508,14956,7268,7688
