Ward No.,Household,Total Population,Total Male,Total Female
1,174,556,259,297
2,239,1187,574,613
3,213,1349,648,701
4,483,2755,1324,1431
5,346,1906,901,1005
6,464,2594,1159,1435
Total,1919,10347,4865,5482
