Ward No.,Household,Total Population,Total Male,Total Female
1,461,2093,977,1116
2,625,2979,1442,1537
3,417,2250,1066,1184
4,449,2227,1013,1214
5,344,1701,815,886
6,240,1135,519,616
7,526,2691,1283,1408
8,165,730,367,363
Total,3227,15806,7482,8324
