Ward No.,Household,Total Population,Total Male,Total Female
1,491,2476,1153,1323
2,533,2594,1178,1416
3,319,1517,730,787
4,332,1616,747,869
5,527,2496,1131,1365
6,376,1849,870,979
Total,2578,12548,5809,6739
