Ward No.,Household,Total Population,Total Male,Total Female
1,1621,6580,3274,3306
2,2324,8821,4338,4483
3,2343,9024,4540,4484
4,3561,13611,7061,6550
5,963,4298,2113,2185
6,1427,6303,3183,3120
7,915,4470,2202,2268
8,619,2915,1484,1431
9,1368,5149,2618,2531
10,1605,6249,3251,2998
Total,16746,67420,34064,33356
