Ward No.,Household,Total Population,Total Male,Total Female
1,416,1997,910,1087
2,538,2453,1141,1312
3,924,3658,1640,2018
4,841,3715,1737,1978
5,899,3779,1737,2042
Total,3618,15602,7165,8437
