Ward No.,Household,Total Population,Total Male,Total Female
1,552,2307,1094,1213
2,802,3369,1525,1844
3,551,2199,926,1273
4,602,2495,1072,1423
5,763,3386,1530,1856
6,685,3545,1653,1892
7,571,2615,1230,1385
8,727,3337,1529,1808
Total,5253,23253,10559,12694
