Ward No.,Household,Total Population,Total Male,Total Female
1,335,1524,741,783
2,308,1543,753,790
3,368,1713,821,892
4,338,1529,761,768
5,491,2261,1073,1188
6,541,2566,1255,1311
7,422,2278,1125,1153
Total,2803,13414,6529,6885
