Ward No.,Household,Total Population,Total Male,Total Female
1,478,2183,1003,1180
2,566,2478,1163,1315
3,637,2973,1378,1595
4,430,1956,893,1063
5,769,3432,1523,1909
6,777,3416,1532,1884
7,808,3629,1650,1979
8,719,2941,1364,1577
9,1119,4764,2131,2633
10,688,2659,1174,1485
Total,6991,30431,13811,16620
