Ward No.,Household,Total Population,Total Male,Total Female
1,197,1065,471,594
2,429,2595,1219,1376
3,358,2187,1016,1171
4,569,3142,1408,1734
5,536,2649,1189,1460
6,454,2310,1072,1238
7,457,2487,1099,1388
8,321,2114,997,1117
Total,3321,18549,8471,10078
