Ward No.,Household,Total Population,Total Male,Total Female
1,634,3972,1853,2119
2,320,1954,884,1070
3,453,2773,1331,1442
4,891,4802,2117,2685
5,574,3089,1374,1715
6,440,2176,925,1251
Total,3312,18766,8484,10282
