Ward No.,Household,Total Population,Total Male,Total Female
1,711,4132,1975,2157
2,509,2876,1369,1507
3,641,3479,1567,1912
4,611,2891,1268,1623
5,550,2742,1180,1562
6,635,3891,1772,2119
7,476,2437,1055,1382
8,426,2184,1034,1150
Total,4559,24632,11220,13412
