Ward No.,Household,Total Population,Total Male,Total Female
1,768,3556,1498,2058
2,611,2850,1182,1668
3,663,3205,1386,1819
4,687,3151,1398,1753
5,617,2991,1398,1593
6,937,4323,1843,2480
7,1007,4902,2082,2820
8,578,2953,1330,1623
Total,5868,27931,12117,15814
