Ward No.,Household,Total Population,Total Male,Total Female
1,838,4534,2080,2454
2,883,4205,1767,2438
3,692,3472,1526,1946
4,580,2855,1237,1618
5,734,3351,1380,1971
6,923,3975,1675,2300
Total,4650,22392,9665,12727
