Ward No.,Household,Total Population,Total Male,Total Female
1,1549,7620,3722,3898
2,1719,7938,3869,4069
3,958,4905,2363,2542
4,924,4882,2438,2444
5,854,4280,2047,2233
6,1035,5227,2492,2735
Total,7039,34852,16931,17921
