Ward No.,Household,Total Population,Total Male,Total Female
1,1199,4958,2458,2500
2,540,2649,1301,1348
3,1034,4838,2372,2466
4,713,3251,1554,1697
5,1779,7739,3611,4128
6,1371,5911,2713,3198
7,777,3275,1584,1691
8,2818,11679,5637,6042
9,1022,4113,2084,2029
10,1384,5444,2605,2839
11,2708,11703,5417,6286
12,796,3482,1646,1836
13,2034,8302,3780,4522
14,851,3609,1737,1872
15,4726,19879,9213,10666
16,2763,11199,5173,6026
17,2610,11286,5125,6161
18,1620,5872,2715,3157
19,1154,5125,2313,2812
20,794,3391,1633,1758
Total,32693,137705,64671,73034
