Ward No.,Household,Total Population,Total Male,Total Female
1,876,4350,2070,2280
2,546,2706,1269,1437
3,583,3176,1495,1681
4,471,2357,1085,1272
5,934,4374,2136,2238
6,1039,4908,2315,2593
7,998,5070,2393,2677
8,732,3790,1738,2052
Total,6179,30731,14501,16230
