Ward No.,Household,Total Population,Total Male,Total Female
1,860,4276,2063,2213
2,711,3451,1562,1889
3,628,2846,1233,1613
4,850,3835,1717,2118
5,1074,4992,2264,2728
6,992,4195,1901,2294
7,830,3874,1789,2085
Total,5945,27469,12529,14940
