Ward No.,Household,Total Population,Total Male,Total Female
1,766,3871,1739,2132
2,770,4076,1972,2104
3,519,3298,1698,1600
4,459,2860,1468,1392
5,515,3170,1617,1553
6,476,2692,1309,1383
7,968,5070,2448,2622
Total,4473,25037,12251,12786
