Ward No.,Household,Total Population,Total Male,Total Female
1,749,3846,1898,1948
2,673,3195,1489,1706
3,487,2585,1221,1364
4,644,3401,1607,1794
5,781,3909,1807,2102
6,734,4358,2062,2296
7,330,1979,944,1035
8,559,3116,1533,1583
9,771,4074,2008,2066
10,433,2307,1088,1219
11,718,3635,1719,1916
Total,6879,36405,17376,19029
