Ward No.,Household,Total Population,Total Male,Total Female
1,415,2261,1047,1214
2,545,3029,1366,1663
3,445,2346,1102,1244
4,606,3400,1612,1788
5,446,2725,1344,1381
Total,2457,13761,6471,7290
