Ward No.,Household,Total Population,Total Male,Total Female
1,571,2748,1304,1444
2,439,2225,1062,1163
3,677,2796,1297,1499
4,517,2541,1209,1332
5,1015,4707,2161,2546
6,812,4058,1865,2193
7,526,2398,1090,1308
Total,4557,21473,9988,11485
