Ward No.,Household,Total Population,Total Male,Total Female
1,708,4744,2253,2491
2,663,3666,1789,1877
3,636,3938,1879,2059
4,412,2432,1151,1281
5,550,3583,1721,1862
6,492,2839,1346,1493
7,640,3756,1816,1940
8,485,2769,1320,1449
Total,4586,27727,13275,14452
