Ward No.,Household,Total Population,Total Male,Total Female
1,657,3879,1880,1999
2,452,2489,1194,1295
3,528,2829,1352,1477
4,510,2831,1362,1469
5,395,2195,1079,1116
6,493,2745,1276,1469
Total,3035,16968,8143,8825
