Ward No.,Household,Total Population,Total Male,Total Female
1,441,2922,1360,1562
2,726,4640,2315,2325
3,836,4962,2378,2584
4,758,4408,2105,2303
5,528,2865,1345,1520
6,800,3923,1914,2009
7,781,4102,1865,2237
Total,4870,27822,13282,14540
