Ward No.,Household,Total Population,Total Male,Total Female
1,634,3071,1452,1619
2,670,2969,1401,1568
3,739,3245,1554,1691
4,432,1980,941,1039
5,579,2544,1161,1383
Total,3054,13809,6509,7300
