Ward No.,Household,Total Population,Total Male,Total Female
1,822,3529,1612,1917
2,902,3612,1696,1916
3,1862,6977,3208,3769
4,448,2264,1057,1207
5,356,1887,841,1046
6,521,2499,1090,1409
Total,4911,20768,9504,11264
