Ward No.,Household,Total Population,Total Male,Total Female
1,606,2743,1295,1448
2,621,2846,1316,1530
3,259,1046,508,538
4,567,2731,1255,1476
5,560,2405,1069,1336
6,715,2960,1378,1582
7,388,1767,837,930
8,326,1476,659,817
9,537,2430,1165,1265
Total,4579,20404,9482,10922
