Ward No.,Household,Total Population,Total Male,Total Female
1,2046,8073,4023,4050
2,2112,9389,4475,4914
3,1933,8620,4214,4406
4,2610,10976,5437,5539
5,4474,17823,8703,9120
6,1218,5293,2538,2755
7,1330,6200,2975,3225
8,1096,4949,2398,2551
9,908,4187,2002,2185
10,1391,6368,2983,3385
Total,19118,81878,39748,42130
