Ward No.,Household,Total Population,Total Male,Total Female
1,1322,5573,2552,3021
2,1668,6919,3023,3896
3,1373,6093,2799,3294
4,1368,6150,2879,3271
5,1215,5859,2908,2951
6,1448,6697,3318,3379
7,2023,8380,3999,4381
8,1429,5483,2647,2836
9,1560,6748,3219,3529
10,1864,7631,3614,4017
Total,15270,65533,30958,34575
