Ward No.,Household,Total Population,Total Male,Total Female
1,1777,7095,3399,3696
2,1371,5920,2799,3121
3,1964,8662,4001,4661
4,1732,7383,3485,3898
5,2661,10040,4733,5307
6,1343,5781,2814,2967
7,1531,6825,3258,3567
8,2293,8986,4265,4721
9,2318,9532,4462,5070
10,1114,4878,2222,2656
Total,18104,75102,35438,39664
