Ward No.,Household,Total Population,Total Male,Total Female
1,1701,7650,3509,4141
2,1792,7920,3721,4199
3,1051,4741,2178,2563
4,1108,5193,2397,2796
5,763,3429,1515,1914
Total,6415,28933,13320,15613
